City,last_updated,Measure Display,parent_metro_region,Period Begin,Period End,Property Type,Region,Region Type,Seasonally Adjusted,State,State Code,Table Id,Worksheet Filter,active_listings,active_listings_mom,active_listings_yoy,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Number of Records,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region_metro_code,pending_sales,pending_sales_mom,pending_sales_yoy,Period Duration,Price Drops,Price Drops Mom,Price Drops Yoy,property_type_id,region_type_id,Sold Above List,Sold Above List Mom,Sold Above List Yoy
San Francisco,4/5/2020 14:45,,"San Francisco, CA",8/1/2014,10/31/2014,All Residential,"San Francisco, CA - Russian Hill",Neighborhood,FALSE,California,CA,2352,Value,56,0.056603774,-0.01754386,1.066773084,1.80%,1.60%,24,-20.00%,-31.40%,30,66.70%,50.00%,12,-2,-3,973.890123,-0.010100724,0.014500213,"1,495,000",0,-0.034861201,998.4833165,0,0.015902624,"$1,600K",1.60%,-10.50%,,,,44,25.70%,12.80%,1,0.5,0,-0.269230769,"41,884",10,0.666666667,-0.230769231,90,,,,-1,1,0.708333333,0.075,-0.005952381
San Francisco,4/5/2020 14:45,,"San Francisco, CA",8/1/2014,10/31/2014,All Residential,"San Francisco, CA - University Mound",Neighborhood,FALSE,California,CA,111230,Value,16,-0.111111111,0.230769231,1.106928332,-1.60%,10.80%,11,0.00%,37.50%,4,-20.00%,33.30%,22,3,1,565.6406982,0.126799033,0.172160838,"699,000",0,0.051918736,547.5206612,-0.051701399,0.052924348,$770K,0.00%,8.60%,,,,13,-13.30%,62.50%,1,0,0,-0.5,"41,884",3,-0.25,-0.25,90,,,,-1,1,0.818181818,-0.090909091,0.193181818
San Francisco,4/5/2020 14:45,,"San Francisco, CA",9/1/2014,11/30/2014,All Residential,"San Francisco, CA - Haight Ashbury",Neighborhood,FALSE,California,CA,1180,Value,10,-0.090909091,-0.375,1.05570213,5.90%,-7.60%,9,50.00%,-18.20%,,,,12.5,-0.5,-3.5,661.6607774,0,-0.013718753,"1,174,500",0,0.18040201,699.8378715,0.013291571,-0.024944988,"$1,148K",-1.20%,-30.40%,,,,10,0.00%,-9.10%,1,0,-0.571428571,-0.5,"41,884",1,-0.857142857,-0.5,90,,,,-1,1,0.555555556,0.222222222,-0.262626263
San Francisco,4/5/2020 14:45,,"San Francisco, CA",9/1/2014,11/30/2014,All Residential,"San Francisco, CA - Mission Bay",Neighborhood,FALSE,California,CA,1724,Value,39,-0.204081633,-0.133333333,1.028043279,-0.20%,0.00%,26,-21.20%,-10.30%,5,-50.00%,-66.70%,20,6,4.5,901.4423077,-0.014824545,0.045793369,"862,500",-0.041666667,-0.040600667,871.38863,-0.042376468,0.018764754,$983K,5.10%,13.60%,,,,26,-16.10%,-25.70%,1,0.714285714,0.314285714,0.26984127,"41,884",7,-0.3,-0.222222222,90,,,,-1,1,0.615384615,0.009324009,0.063660477
San Francisco,4/5/2020 14:45,,"San Francisco, CA",1/1/2015,3/31/2015,All Residential,"San Francisco, CA - Sutro Heights",Neighborhood,FALSE,California,CA,117803,Value,6,-0.142857143,-0.333333333,1.126350183,3.20%,0.00%,4,0.00%,-33.30%,1,-50.00%,-66.70%,12,5,-8,670.212766,0,0.303868472,"899,500",0.000556174,-0.098697395,714.6901436,0.100610585,0.204025055,"$1,016K",-12.40%,-4.20%,,,,6,-14.30%,-14.30%,1,1,0.25,1,"41,884",1,-0.75,0,90,,,,-1,1,0.75,0,0.083333333
San Francisco,4/5/2020 14:45,,"San Francisco, CA",1/1/2015,3/31/2015,All Residential,"San Francisco, CA - Visitacion Valley",Neighborhood,FALSE,California,CA,2897,Value,22,0.157894737,0.1,1.033308856,-0.20%,1.40%,11,37.50%,57.10%,10,0.00%,11.10%,52,-6,-17,552.7840404,-0.025757099,0.593986856,"693,500",0.023616236,0.127642276,508.9285714,-0.009277654,-0.18577171,$670K,1.40%,14.50%,,,,12,50.00%,-14.30%,1,0.6,0.6,-0.2,"41,884",5,1.5,0,90,,,,-1,1,0.545454545,-0.079545455,0.116883117
San Francisco,4/5/2020 14:45,,"San Francisco, CA",2/1/2015,4/30/2015,All Residential,"San Francisco, CA - Southwest San Francisco",Neighborhood,FALSE,California,CA,116213,Value,703,0.259856631,-0.008462623,1.155628792,2.60%,2.50%,423,24.40%,-12.80%,172,16.20%,8.90%,13,-1,-1,681.4472761,0.021589591,0.103976356,"999,000",0.004020101,0.111234705,785.6562766,0.053934031,0.115437924,"$1,200K",8.40%,14.30%,,,,610,21.00%,3.70%,1,0.686567164,-0.014413228,0.039198743,"41,884",201,-0.014705882,0.057894737,90,,,,-1,1,0.820330969,0.037978028,0.007189285
San Francisco,4/5/2020 14:45,,"San Francisco, CA",4/1/2015,6/30/2015,All Residential,"San Francisco, CA - Union Street",Neighborhood,FALSE,California,CA,112298,Value,22,0.1,0.833333333,1.111154701,0.80%,-7.60%,14,16.70%,180.00%,7,40.00%,75.00%,15,0,4,"1,104.98",0.055974414,0.168638065,"1,223,500",-0.318384401,-0.170508475,"1,140.50",0.089793936,0.112901126,"$2,285K",31.50%,96.80%,,,,20,25.00%,81.80%,1,1,0.2,0.666666667,"41,884",4,-0.2,0.333333333,90,,,,-1,1,0.785714286,0.035714286,-0.214285714
San Francisco,4/5/2020 14:45,,"San Francisco, CA",6/1/2015,8/31/2015,All Residential,"San Francisco, CA - Portola",Neighborhood,FALSE,California,CA,2185,Value,24,0,-0.294117647,1.093349278,1.60%,-2.90%,17,-5.60%,13.30%,9,-10.00%,-18.20%,28,-2,6,542.0845058,0,0.023678895,"781,944",0.043983979,0.203557367,636.1904762,0.027342668,0.15994871,$800K,2.60%,5.30%,,,,19,18.80%,-13.60%,1,0.166666667,-0.333333333,-0.133333333,"41,884",6,0.5,-0.4,90,,,,-1,1,0.647058824,0.035947712,-0.152941176
San Francisco,4/5/2020 14:45,,"San Francisco, CA",8/1/2015,10/31/2015,All Residential,"San Francisco, CA - Fairmount",Neighborhood,FALSE,California,CA,113046,Value,23,0.642857143,0,1.159879686,-0.50%,-4.20%,10,0.00%,-23.10%,5,66.70%,25.00%,13,0,-2,781.25,-0.061591382,0.087866109,"1,395,000",0.073903002,0.167364017,915.307971,0.116985999,0.097334099,"$1,517K",11.10%,7.90%,,,,21,61.50%,10.50%,1,0.5,-0.1,0.2,"41,884",8,0.6,-0.2,90,,,,-1,1,0.7,0.1,-0.146153846
San Francisco,4/5/2020 14:45,,"San Francisco, CA",9/1/2015,11/30/2015,All Residential,"San Francisco, CA - Diamond Heights",Neighborhood,FALSE,California,CA,693,Value,17,0.0625,-0.227272727,1.024378811,-1.70%,-9.90%,10,-28.60%,-23.10%,5,25.00%,150.00%,32,5,17,721.686747,0.007569386,0.070773319,"798,000",0.141630901,0.037711313,699.8070023,-0.018322444,-0.021028111,$810K,7.30%,15.70%,,,,15,25.00%,-11.80%,1,0.75,0.25,0.55,"41,884",4,-0.333333333,-0.2,90,,,,-1,1,0.4,-0.242857143,-0.446153846
San Francisco,4/5/2020 14:45,,"San Francisco, CA",10/1/2015,12/31/2015,All Residential,"San Francisco, CA - Glen Park",Neighborhood,FALSE,California,CA,1103,Value,12,0.090909091,0.333333333,1.140033398,-4.90%,7.90%,10,66.70%,0.00%,,,,17,2.5,6,750.7330658,-0.134085971,-0.002559602,"1,145,000",0,0.092036242,"1,005.31",-0.066293973,0.297883666,"$1,335K",0.00%,14.40%,,,,10,0.00%,25.00%,1,0.5,0.25,,"41,884",2,-0.5,,90,,,,-1,1,0.8,-0.033333333,0.1
San Francisco,4/5/2020 14:45,,"San Francisco, CA",11/1/2015,1/31/2016,All Residential,"San Francisco, CA - Oceanview",Neighborhood,FALSE,California,CA,1999,Value,17,-0.105263158,0.307692308,1.068098081,-2.80%,3.10%,16,-5.90%,166.70%,5,66.70%,400.00%,21,-3,0,545.6786317,0.164829855,-0.130744943,"799,000",0,0.075370121,539.9086633,-0.009659233,-0.087066486,$753K,0.40%,8.10%,,,,10,-9.10%,0.00%,1,0.75,0.25,-0.25,"41,884",4,1,-0.2,90,,,,-1,1,0.6875,-0.077205882,0.020833333
San Francisco,4/5/2020 14:45,,"San Francisco, CA",11/1/2015,1/31/2016,All Residential,"San Francisco, CA - Diamond Heights",Neighborhood,FALSE,California,CA,693,Value,12,-0.294117647,0,1.032957906,-1.10%,-2.20%,10,-9.10%,-28.60%,2,0.00%,,23.5,10.5,7,721.686747,0,0.000631807,"843,500",0.056355667,0.432088285,718.9259164,-0.013704941,-0.008226523,$759K,-2.70%,15.90%,,,,8,-20.00%,14.30%,1,0.5,0.25,-0.5,"41,884",2,-0.5,0,90,,,,-1,1,0.6,-0.036363636,-0.114285714
San Francisco,4/5/2020 14:45,,"San Francisco, CA",1/1/2016,3/31/2016,All Residential,"San Francisco, CA - Mission Terrace",Neighborhood,FALSE,California,CA,1738,Value,14,0.076923077,-0.391304348,1.071938453,1.00%,-5.90%,11,22.20%,120.00%,5,0.00%,-50.00%,21,-3,14,633.3333333,-0.06780061,0.136928811,"899,000",0,0.200267023,733.7758369,0.128885903,-0.076043018,"$1,000K",11.00%,5.30%,,,,10,11.10%,-50.00%,1,0.666666667,0.416666667,-0.208333333,"41,884",3,-0.25,-0.625,90,,,,-1,1,0.727272727,-0.050505051,-0.072727273
San Francisco,4/5/2020 14:45,,"San Francisco, CA",4/1/2016,6/30/2016,All Residential,"San Francisco, CA - Glen Park",Neighborhood,FALSE,California,CA,1103,Value,10,-0.090909091,0,1.116811064,-17.20%,-19.60%,4,0.00%,-20.00%,4,-20.00%,100.00%,10.5,-1.5,-3.5,983.1967213,-0.004335857,0.100149557,"1,445,000",0.035842294,0.071958457,"1,149.21",0.032981925,-0.046994431,"$1,453K",5.30%,-6.30%,,,,10,11.10%,0.00%,1,1,0.333333333,0.5,"41,884",2,-0.333333333,-0.5,90,,,,-1,1,0.75,-0.25,-0.25
