Month of Period End,Region,Avg. Median Sale Price,Avg. Median Ppsf
Sep-13,"San Francisco, CA - Southwest San Francisco",$930K,628.5714286
Oct-13,"San Francisco, CA - Southwest San Francisco",$936K,625
Nov-13,"San Francisco, CA - Southwest San Francisco",$937K,614.9131905
Dec-13,"San Francisco, CA - Southwest San Francisco",$920K,629.6482412
Jan-14,"San Francisco, CA - Southwest San Francisco",$940K,678.141136
Feb-14,"San Francisco, CA - Southwest San Francisco",$960K,704.3478261
Mar-14,"San Francisco, CA - Southwest San Francisco","$1,011K",700
Apr-14,"San Francisco, CA - Southwest San Francisco","$1,050K",700
May-14,"San Francisco, CA - Southwest San Francisco","$1,059K",709.6124811
Jun-14,"San Francisco, CA - Southwest San Francisco","$1,088K",717.1775593
Jul-14,"San Francisco, CA - Southwest San Francisco","$1,106K",703.7037037
Aug-14,"San Francisco, CA - Southwest San Francisco","$1,115K",686.3612989
Sep-14,"San Francisco, CA - Southwest San Francisco","$1,076K",685.7142857
Oct-14,"San Francisco, CA - Southwest San Francisco","$1,050K",688.4057971
Nov-14,"San Francisco, CA - Southwest San Francisco","$1,085K",682.6741996
Dec-14,"San Francisco, CA - Southwest San Francisco","$1,080K",699.3916362
Jan-15,"San Francisco, CA - Southwest San Francisco","$1,051K",745.4510939
Feb-15,"San Francisco, CA - Southwest San Francisco","$1,050K",785.6562766
Mar-15,"San Francisco, CA - Southwest San Francisco","$1,108K",807.1658615
Apr-15,"San Francisco, CA - Southwest San Francisco","$1,200K",822.6666667
May-15,"San Francisco, CA - Southwest San Francisco","$1,250K",832.7998293
Jun-15,"San Francisco, CA - Southwest San Francisco","$1,300K",801.406868
Jul-15,"San Francisco, CA - Southwest San Francisco","$1,332K",784.4827586
Aug-15,"San Francisco, CA - Southwest San Francisco","$1,260K",768.5492299
Sep-15,"San Francisco, CA - Southwest San Francisco","$1,250K",777.6192741
Oct-15,"San Francisco, CA - Southwest San Francisco","$1,210K",769.2307692
Nov-15,"San Francisco, CA - Southwest San Francisco","$1,225K",756.4102564
Dec-15,"San Francisco, CA - Southwest San Francisco","$1,225K",762.0817844
Jan-16,"San Francisco, CA - Southwest San Francisco","$1,230K",802.1139706
Feb-16,"San Francisco, CA - Southwest San Francisco","$1,239K",822.122571
Mar-16,"San Francisco, CA - Southwest San Francisco","$1,257K",837.8527947
Apr-16,"San Francisco, CA - Southwest San Francisco","$1,306K",830.0854394
May-16,"San Francisco, CA - Southwest San Francisco","$1,325K",840.6720742
Jun-16,"San Francisco, CA - Southwest San Francisco","$1,321K",822.5616921
Jul-16,"San Francisco, CA - Southwest San Francisco","$1,308K",828.0162252
Aug-16,"San Francisco, CA - Southwest San Francisco","$1,260K",847.3664285
Sep-16,"San Francisco, CA - Southwest San Francisco","$1,260K",844.3465492
Oct-16,"San Francisco, CA - Southwest San Francisco","$1,300K",825.0258796
Nov-16,"San Francisco, CA - Southwest San Francisco","$1,299K",809.6606827
Dec-16,"San Francisco, CA - Southwest San Francisco","$1,300K",822.3120789
Jan-17,"San Francisco, CA - Southwest San Francisco","$1,250K",868.4458558
Feb-17,"San Francisco, CA - Southwest San Francisco","$1,280K",891.3324673
Mar-17,"San Francisco, CA - Southwest San Francisco","$1,298K",908.6311531
Apr-17,"San Francisco, CA - Southwest San Francisco","$1,375K",906.2776304
May-17,"San Francisco, CA - Southwest San Francisco","$1,360K",906.3551895
Jun-17,"San Francisco, CA - Southwest San Francisco","$1,360K",881.6526611
Jul-17,"San Francisco, CA - Southwest San Francisco","$1,350K",879.6459855
Aug-17,"San Francisco, CA - Southwest San Francisco","$1,350K",887.8811165
Sep-17,"San Francisco, CA - Southwest San Francisco","$1,360K",920
Oct-17,"San Francisco, CA - Southwest San Francisco","$1,410K",921.1521501
Nov-17,"San Francisco, CA - Southwest San Francisco","$1,435K",920.0010895
Dec-17,"San Francisco, CA - Southwest San Francisco","$1,455K",910.3448276
Jan-18,"San Francisco, CA - Southwest San Francisco","$1,425K",944.9112979
Feb-18,"San Francisco, CA - Southwest San Francisco","$1,450K",992.6108374
Mar-18,"San Francisco, CA - Southwest San Francisco","$1,550K","1,008.06"
Apr-18,"San Francisco, CA - Southwest San Francisco","$1,578K","1,013.86"
May-18,"San Francisco, CA - Southwest San Francisco","$1,550K","1,001.99"
Jun-18,"San Francisco, CA - Southwest San Francisco","$1,550K",988.4826245
Jul-18,"San Francisco, CA - Southwest San Francisco","$1,523K",964.7228948
Aug-18,"San Francisco, CA - Southwest San Francisco","$1,500K",958.2132565
Sep-18,"San Francisco, CA - Southwest San Francisco","$1,499K",959.6858897
Oct-18,"San Francisco, CA - Southwest San Francisco","$1,500K",946.6666667
Nov-18,"San Francisco, CA - Southwest San Francisco","$1,500K",903.8461538
Dec-18,"San Francisco, CA - Southwest San Francisco","$1,478K",901.6646116
Jan-19,"San Francisco, CA - Southwest San Francisco","$1,421K",938.6716658
Feb-19,"San Francisco, CA - Southwest San Francisco","$1,425K",977.326036
Mar-19,"San Francisco, CA - Southwest San Francisco","$1,475K",969.1096305
Apr-19,"San Francisco, CA - Southwest San Francisco","$1,550K",990.0775151
May-19,"San Francisco, CA - Southwest San Francisco","$1,576K","1,013.82"
Jun-19,"San Francisco, CA - Southwest San Francisco","$1,600K","1,013.82"
Jul-19,"San Francisco, CA - Southwest San Francisco","$1,600K",994.6442234
Aug-19,"San Francisco, CA - Southwest San Francisco","$1,602K",973.186239
Sep-19,"San Francisco, CA - Southwest San Francisco","$1,550K",991.5966387
Oct-19,"San Francisco, CA - Southwest San Francisco","$1,560K",976.9094139
Nov-19,"San Francisco, CA - Southwest San Francisco","$1,512K",958.9296667
Dec-19,"San Francisco, CA - Southwest San Francisco","$1,498K",933.5480504
Jan-20,"San Francisco, CA - Southwest San Francisco","$1,450K",341.670563
Feb-20,"San Francisco, CA - Southwest San Francisco","$1,450K",357.2192513
Feb-12,"San Francisco, CA - Southeast San Francisco",$520K,370.257361
Mar-12,"San Francisco, CA - Southeast San Francisco",$495K,382.7751196
Apr-12,"San Francisco, CA - Southeast San Francisco",$520K,394.2486085
May-12,"San Francisco, CA - Southeast San Francisco",$515K,408.6666667
Jun-12,"San Francisco, CA - Southeast San Francisco",$552K,422.6253021
Jul-12,"San Francisco, CA - Southeast San Francisco",$591K,425
Aug-12,"San Francisco, CA - Southeast San Francisco",$599K,428.5714286
Sep-12,"San Francisco, CA - Southeast San Francisco",$590K,425
Oct-12,"San Francisco, CA - Southeast San Francisco",$580K,452.1733693
Nov-12,"San Francisco, CA - Southeast San Francisco",$607K,460.1368801
Dec-12,"San Francisco, CA - Southeast San Francisco",$618K,470.1130471
Jan-13,"San Francisco, CA - Southeast San Francisco",$615K,447.0896304
Feb-13,"San Francisco, CA - Southeast San Francisco",$600K,465.9930314
Mar-13,"San Francisco, CA - Southeast San Francisco",$630K,515.6744434
Apr-13,"San Francisco, CA - Southeast San Francisco",$639K,536.0687823
May-13,"San Francisco, CA - Southeast San Francisco",$650K,551.7241379
Jun-13,"San Francisco, CA - Southeast San Francisco",$670K,548.3870968
Jul-13,"San Francisco, CA - Southeast San Francisco",$682K,543.3179724
Aug-13,"San Francisco, CA - Southeast San Francisco",$705K,552.7864006
Sep-13,"San Francisco, CA - Southeast San Francisco",$710K,576.7326733
Oct-13,"San Francisco, CA - Southeast San Francisco",$735K,566.838488
Nov-13,"San Francisco, CA - Southeast San Francisco",$750K,567.0103093
Dec-13,"San Francisco, CA - Southeast San Francisco",$748K,578.8541051
Jan-14,"San Francisco, CA - Southeast San Francisco",$739K,643.6781609
Feb-14,"San Francisco, CA - Southeast San Francisco",$740K,662.7710843
Mar-14,"San Francisco, CA - Southeast San Francisco",$770K,648.8991889
Apr-14,"San Francisco, CA - Southeast San Francisco",$805K,633.4841629
May-14,"San Francisco, CA - Southeast San Francisco",$862K,624.5164298
Jun-14,"San Francisco, CA - Southeast San Francisco",$850K,628.7956541
Jul-14,"San Francisco, CA - Southeast San Francisco",$850K,635.9437751
Aug-14,"San Francisco, CA - Southeast San Francisco",$833K,637.4269006
Sep-14,"San Francisco, CA - Southeast San Francisco",$825K,660.8695652
Oct-14,"San Francisco, CA - Southeast San Francisco",$849K,665.7509158
Nov-14,"San Francisco, CA - Southeast San Francisco",$870K,681.60299
Dec-14,"San Francisco, CA - Southeast San Francisco",$850K,709.7735849
Jan-15,"San Francisco, CA - Southeast San Francisco",$865K,746.6666667
Feb-15,"San Francisco, CA - Southeast San Francisco",$867K,785.5233636
Mar-15,"San Francisco, CA - Southeast San Francisco",$917K,788.8064626
Apr-15,"San Francisco, CA - Southeast San Francisco",$937K,789.4117647
May-15,"San Francisco, CA - Southeast San Francisco",$940K,746.253469
Jun-15,"San Francisco, CA - Southeast San Francisco",$972K,703.1857032
Jul-15,"San Francisco, CA - Southeast San Francisco",$995K,703.1857032
Aug-15,"San Francisco, CA - Southeast San Francisco","$1,006K",730.3428444
Sep-15,"San Francisco, CA - Southeast San Francisco",$951K,770.8513397
Oct-15,"San Francisco, CA - Southeast San Francisco",$975K,788.5714286
Nov-15,"San Francisco, CA - Southeast San Francisco",$975K,770.0787402
Dec-15,"San Francisco, CA - Southeast San Francisco","$1,038K",772.1462883
Jan-16,"San Francisco, CA - Southeast San Francisco",$975K,833.0462187
Feb-16,"San Francisco, CA - Southeast San Francisco",$950K,861.4209327
Mar-16,"San Francisco, CA - Southeast San Francisco",$950K,829.4930876
Apr-16,"San Francisco, CA - Southeast San Francisco","$1,090K",798.0487805
May-16,"San Francisco, CA - Southeast San Francisco","$1,085K",798.7419044
Jun-16,"San Francisco, CA - Southeast San Francisco","$1,050K",785.7142857
Jul-16,"San Francisco, CA - Southeast San Francisco","$1,003K",760.8695652
Aug-16,"San Francisco, CA - Southeast San Francisco","$1,000K",764.4347826
Sep-16,"San Francisco, CA - Southeast San Francisco",$973K,771.4285714
Oct-16,"San Francisco, CA - Southeast San Francisco",$999K,769.6969697
Nov-16,"San Francisco, CA - Southeast San Francisco","$1,000K",763.6240849
Dec-16,"San Francisco, CA - Southeast San Francisco",$997K,775.9562842
Jan-17,"San Francisco, CA - Southeast San Francisco",$973K,830.1966363
Feb-17,"San Francisco, CA - Southeast San Francisco",$947K,848.7958942
Mar-17,"San Francisco, CA - Southeast San Francisco",$985K,829.4392523
Apr-17,"San Francisco, CA - Southeast San Francisco","$1,007K",829.4392523
May-17,"San Francisco, CA - Southeast San Francisco","$1,073K",846.3833635
Jun-17,"San Francisco, CA - Southeast San Francisco","$1,115K",836.9565217
Jul-17,"San Francisco, CA - Southeast San Francisco","$1,104K",833.3333333
Aug-17,"San Francisco, CA - Southeast San Francisco","$1,120K",838.1689233
Sep-17,"San Francisco, CA - Southeast San Francisco","$1,050K",850.8333333
Oct-17,"San Francisco, CA - Southeast San Francisco","$1,095K",880.8886191
Nov-17,"San Francisco, CA - Southeast San Francisco","$1,092K",841.4507772
Dec-17,"San Francisco, CA - Southeast San Francisco","$1,123K",831.5602837
Jan-18,"San Francisco, CA - Southeast San Francisco","$1,072K",778.6585366
Feb-18,"San Francisco, CA - Southeast San Francisco","$1,030K",864.6254092
Mar-18,"San Francisco, CA - Southeast San Francisco","$1,010K",925
Apr-18,"San Francisco, CA - Southeast San Francisco","$1,117K",961.0983982
May-18,"San Francisco, CA - Southeast San Francisco","$1,200K",949.7326203
Jun-18,"San Francisco, CA - Southeast San Francisco","$1,210K",890.1511297
Jul-18,"San Francisco, CA - Southeast San Francisco","$1,260K",862.8318584
Aug-18,"San Francisco, CA - Southeast San Francisco","$1,205K",861.1361587
Sep-18,"San Francisco, CA - Southeast San Francisco","$1,200K",862.745098
Oct-18,"San Francisco, CA - Southeast San Francisco","$1,200K",853.1019202
Nov-18,"San Francisco, CA - Southeast San Francisco","$1,150K",799.6763754
Dec-18,"San Francisco, CA - Southeast San Francisco","$1,200K",823.4793756
Jan-19,"San Francisco, CA - Southeast San Francisco","$1,130K",868.4210526
Feb-19,"San Francisco, CA - Southeast San Francisco","$1,078K",913.5888502
Mar-19,"San Francisco, CA - Southeast San Francisco","$1,085K",939.7585345
Apr-19,"San Francisco, CA - Southeast San Francisco","$1,155K",934.1906203
May-19,"San Francisco, CA - Southeast San Francisco","$1,215K",928.7272727
Jun-19,"San Francisco, CA - Southeast San Francisco","$1,225K",888.3953359
Jul-19,"San Francisco, CA - Southeast San Francisco","$1,225K",889.9676375
Aug-19,"San Francisco, CA - Southeast San Francisco","$1,200K",928.5714286
Sep-19,"San Francisco, CA - Southeast San Francisco","$1,230K",936.704092
Oct-19,"San Francisco, CA - Southeast San Francisco","$1,275K",900
Nov-19,"San Francisco, CA - Southeast San Francisco","$1,320K",869.6206567
Dec-19,"San Francisco, CA - Southeast San Francisco","$1,250K",839.0505017
Jan-20,"San Francisco, CA - Southeast San Francisco","$1,200K",621.1820269
Feb-20,"San Francisco, CA - Southeast San Francisco","$1,150K",650.3248671
Feb-12,"San Francisco, CA - South of Market",$550K,663.9722864
Mar-12,"San Francisco, CA - South of Market",$578K,689.4177804
Apr-12,"San Francisco, CA - South of Market",$625K,690.8105135
May-12,"San Francisco, CA - South of Market",$645K,700.7657716
Jun-12,"San Francisco, CA - South of Market",$669K,714.2857143
Jul-12,"San Francisco, CA - South of Market",$672K,729.3934681
Aug-12,"San Francisco, CA - South of Market",$715K,726.6956582
Sep-12,"San Francisco, CA - South of Market",$740K,752.0604396
Oct-12,"San Francisco, CA - South of Market",$779K,771.7791411
Nov-12,"San Francisco, CA - South of Market",$773K,810.7995275
Dec-12,"San Francisco, CA - South of Market",$770K,812.6195029
Jan-13,"San Francisco, CA - South of Market",$805K,817.3429363
Feb-13,"San Francisco, CA - South of Market",$840K,812.6195029
Mar-13,"San Francisco, CA - South of Market",$849K,837.1827238
Apr-13,"San Francisco, CA - South of Market",$838K,850.7347254
May-13,"San Francisco, CA - South of Market",$825K,869.1719735
Jun-13,"San Francisco, CA - South of Market",$804K,863.322683
Jul-13,"San Francisco, CA - South of Market",$810K,852.2802632
Aug-13,"San Francisco, CA - South of Market",$795K,860.8815427
Sep-13,"San Francisco, CA - South of Market",$790K,860.9963269
Oct-13,"San Francisco, CA - South of Market",$803K,888.8888889
Nov-13,"San Francisco, CA - South of Market",$834K,890.7016421
Dec-13,"San Francisco, CA - South of Market",$838K,897.0626792
Jan-14,"San Francisco, CA - South of Market",$838K,928.3819629
Feb-14,"San Francisco, CA - South of Market",$856K,968.3098592
Mar-14,"San Francisco, CA - South of Market",$985K,"1,011.08"
Apr-14,"San Francisco, CA - South of Market",$925K,"1,000"
May-14,"San Francisco, CA - South of Market",$925K,966.8508287
Jun-14,"San Francisco, CA - South of Market",$888K,969.2671395
Jul-14,"San Francisco, CA - South of Market",$901K,951.6837482
Aug-14,"San Francisco, CA - South of Market",$885K,977.568741
Sep-14,"San Francisco, CA - South of Market",$905K,986.3429439
Oct-14,"San Francisco, CA - South of Market",$923K,985.2373369
Nov-14,"San Francisco, CA - South of Market",$938K,996.0106383
Dec-14,"San Francisco, CA - South of Market",$950K,996.8999412
Jan-15,"San Francisco, CA - South of Market",$960K,"1,052.01"
Feb-15,"San Francisco, CA - South of Market","$1,030K","1,077.95"
Mar-15,"San Francisco, CA - South of Market","$1,106K","1,092.72"
Apr-15,"San Francisco, CA - South of Market","$1,177K","1,100.09"
May-15,"San Francisco, CA - South of Market","$1,153K","1,073.87"
Jun-15,"San Francisco, CA - South of Market","$1,139K","1,073.99"
Jul-15,"San Francisco, CA - South of Market","$1,050K","1,073.04"
Aug-15,"San Francisco, CA - South of Market","$1,005K","1,100.72"
Sep-15,"San Francisco, CA - South of Market",$993K,"1,092.56"
Oct-15,"San Francisco, CA - South of Market","$1,075K","1,098.90"
Nov-15,"San Francisco, CA - South of Market","$1,095K","1,102.52"
Dec-15,"San Francisco, CA - South of Market","$1,100K","1,116.84"
Jan-16,"San Francisco, CA - South of Market","$1,110K","1,129.72"
Feb-16,"San Francisco, CA - South of Market","$1,098K","1,134.52"
Mar-16,"San Francisco, CA - South of Market","$1,093K","1,100"
Apr-16,"San Francisco, CA - South of Market","$1,127K","1,082.54"
May-16,"San Francisco, CA - South of Market","$1,100K","1,055.16"
Jun-16,"San Francisco, CA - South of Market","$1,143K","1,055.74"
Jul-16,"San Francisco, CA - South of Market","$1,080K","1,050.33"
Aug-16,"San Francisco, CA - South of Market",$950K,"1,047.49"
Sep-16,"San Francisco, CA - South of Market",$945K,"1,019.20"
Oct-16,"San Francisco, CA - South of Market",$950K,"1,033.44"
Nov-16,"San Francisco, CA - South of Market",$942K,"1,011.06"
Dec-16,"San Francisco, CA - South of Market",$950K,"1,035.29"
Jan-17,"San Francisco, CA - South of Market",$885K,"1,035.29"
Feb-17,"San Francisco, CA - South of Market",$950K,"1,049.19"
Mar-17,"San Francisco, CA - South of Market",$984K,"1,051.50"
Apr-17,"San Francisco, CA - South of Market","$1,063K","1,057.80"
May-17,"San Francisco, CA - South of Market","$1,055K","1,062.20"
Jun-17,"San Francisco, CA - South of Market","$1,150K","1,062.11"
Jul-17,"San Francisco, CA - South of Market","$1,155K","1,117.75"
Aug-17,"San Francisco, CA - South of Market","$1,155K","1,086.96"
Sep-17,"San Francisco, CA - South of Market","$1,065K","1,086.96"
Oct-17,"San Francisco, CA - South of Market","$1,079K","1,047.20"
Nov-17,"San Francisco, CA - South of Market","$1,095K","1,069.03"
Dec-17,"San Francisco, CA - South of Market","$1,103K","1,069.73"
Jan-18,"San Francisco, CA - South of Market","$1,100K","1,153.14"
Feb-18,"San Francisco, CA - South of Market","$1,081K","1,160.09"
Mar-18,"San Francisco, CA - South of Market","$1,100K","1,157.29"
Apr-18,"San Francisco, CA - South of Market","$1,075K","1,151.59"
May-18,"San Francisco, CA - South of Market","$1,183K","1,157.06"
Jun-18,"San Francisco, CA - South of Market","$1,150K","1,184.12"
Jul-18,"San Francisco, CA - South of Market","$1,155K","1,192.99"
Aug-18,"San Francisco, CA - South of Market","$1,150K","1,194.20"
Sep-18,"San Francisco, CA - South of Market","$1,100K","1,152.84"
Oct-18,"San Francisco, CA - South of Market","$1,115K","1,124.42"
Nov-18,"San Francisco, CA - South of Market","$1,030K","1,077.24"
Dec-18,"San Francisco, CA - South of Market","$1,080K","1,117.42"
Jan-19,"San Francisco, CA - South of Market","$1,055K","1,121.67"
Feb-19,"San Francisco, CA - South of Market","$1,080K","1,162.40"
Mar-19,"San Francisco, CA - South of Market","$1,099K","1,193.23"
Apr-19,"San Francisco, CA - South of Market","$1,115K","1,204.64"
May-19,"San Francisco, CA - South of Market","$1,150K","1,223.36"
Jun-19,"San Francisco, CA - South of Market","$1,154K","1,237.44"
Jul-19,"San Francisco, CA - South of Market","$1,178K","1,234.97"
Aug-19,"San Francisco, CA - South of Market","$1,150K","1,212.17"
Sep-19,"San Francisco, CA - South of Market","$1,188K","1,174.11"
Oct-19,"San Francisco, CA - South of Market","$1,125K","1,174.95"
Nov-19,"San Francisco, CA - South of Market","$1,155K","1,114.60"
Dec-19,"San Francisco, CA - South of Market","$1,150K","1,146.27"
Jan-20,"San Francisco, CA - South of Market","$1,150K",674.1833939
Feb-20,"San Francisco, CA - South of Market","$1,143K",688.3537738
Feb-12,"San Francisco, CA - South Beach",$588K,735.4138399
Mar-12,"San Francisco, CA - South Beach",$645K,743.1629013
Apr-12,"San Francisco, CA - South Beach",$687K,758.3547558
May-12,"San Francisco, CA - South Beach",$689K,758.9285714
Jun-12,"San Francisco, CA - South Beach",$727K,773.5580221
Jul-12,"San Francisco, CA - South Beach",$690K,775.048256
Aug-12,"San Francisco, CA - South Beach",$750K,772.9468599
Sep-12,"San Francisco, CA - South Beach",$765K,799.2733878
Oct-12,"San Francisco, CA - South Beach",$780K,809.8591549
Nov-12,"San Francisco, CA - South Beach",$779K,851.7767686
Dec-12,"San Francisco, CA - South Beach",$779K,830.7453416
Jan-13,"San Francisco, CA - South Beach",$823K,856.826668
Feb-13,"San Francisco, CA - South Beach",$855K,888.1900252
Mar-13,"San Francisco, CA - South Beach",$855K,915.364716
Apr-13,"San Francisco, CA - South Beach",$865K,932.5681492
May-13,"San Francisco, CA - South Beach",$850K,946.3860175
Jun-13,"San Francisco, CA - South Beach",$825K,921.9512195
Jul-13,"San Francisco, CA - South Beach",$860K,909.0909091
Aug-13,"San Francisco, CA - South Beach",$846K,921.4202007
Sep-13,"San Francisco, CA - South Beach",$845K,930.6759099
Oct-13,"San Francisco, CA - South Beach",$815K,951.0869565
Nov-13,"San Francisco, CA - South Beach",$860K,937.8752144
Dec-13,"San Francisco, CA - South Beach",$880K,947.0663909
Jan-14,"San Francisco, CA - South Beach",$915K,"1,000"
Feb-14,"San Francisco, CA - South Beach",$915K,"1,027.67"
Mar-14,"San Francisco, CA - South Beach",$989K,"1,074.74"
Apr-14,"San Francisco, CA - South Beach",$982K,"1,069.92"
May-14,"San Francisco, CA - South Beach","$1,005K","1,065.41"
Jun-14,"San Francisco, CA - South Beach",$963K,"1,069.39"
Jul-14,"San Francisco, CA - South Beach",$985K,"1,054.31"
Aug-14,"San Francisco, CA - South Beach","$1,026K","1,038.18"
Sep-14,"San Francisco, CA - South Beach","$1,043K","1,025.24"
Oct-14,"San Francisco, CA - South Beach",$950K,"1,035.37"
Nov-14,"San Francisco, CA - South Beach",$950K,"1,070.04"
Dec-14,"San Francisco, CA - South Beach",$960K,"1,082.39"
Jan-15,"San Francisco, CA - South Beach","$1,038K","1,123.42"
Feb-15,"San Francisco, CA - South Beach","$1,199K","1,151.86"
Mar-15,"San Francisco, CA - South Beach","$1,179K","1,152.01"
Apr-15,"San Francisco, CA - South Beach","$1,272K","1,164.18"
May-15,"San Francisco, CA - South Beach","$1,179K","1,118.72"
Jun-15,"San Francisco, CA - South Beach","$1,139K","1,139.35"
Jul-15,"San Francisco, CA - South Beach","$1,046K","1,134.45"
Aug-15,"San Francisco, CA - South Beach","$1,050K","1,171.77"
Sep-15,"San Francisco, CA - South Beach","$1,046K","1,164.87"
Oct-15,"San Francisco, CA - South Beach","$1,200K","1,184.35"
Nov-15,"San Francisco, CA - South Beach","$1,218K","1,211.85"
Dec-15,"San Francisco, CA - South Beach","$1,250K","1,209.68"
Jan-16,"San Francisco, CA - South Beach","$1,237K","1,261.57"
Feb-16,"San Francisco, CA - South Beach","$1,155K","1,235.89"
Mar-16,"San Francisco, CA - South Beach","$1,135K","1,177.08"
Apr-16,"San Francisco, CA - South Beach","$1,150K","1,147.65"
May-16,"San Francisco, CA - South Beach","$1,150K","1,109.53"
Jun-16,"San Francisco, CA - South Beach","$1,190K","1,145.96"
Jul-16,"San Francisco, CA - South Beach","$1,083K","1,124.98"
Aug-16,"San Francisco, CA - South Beach",$955K,"1,130.50"
Sep-16,"San Francisco, CA - South Beach",$950K,"1,057.85"
Oct-16,"San Francisco, CA - South Beach",$989K,"1,081.63"
Nov-16,"San Francisco, CA - South Beach",$949K,"1,063.04"
Dec-16,"San Francisco, CA - South Beach",$974K,"1,059.97"
Jan-17,"San Francisco, CA - South Beach",$890K,"1,061.30"
Feb-17,"San Francisco, CA - South Beach","$1,007K","1,088.74"
Mar-17,"San Francisco, CA - South Beach","$1,035K","1,117.86"
Apr-17,"San Francisco, CA - South Beach","$1,103K","1,137.17"
May-17,"San Francisco, CA - South Beach","$1,098K","1,100.65"
Jun-17,"San Francisco, CA - South Beach","$1,155K","1,105.77"
Jul-17,"San Francisco, CA - South Beach","$1,185K","1,144.84"
Aug-17,"San Francisco, CA - South Beach","$1,160K","1,135.66"
Sep-17,"San Francisco, CA - South Beach","$1,050K","1,139.88"
Oct-17,"San Francisco, CA - South Beach","$1,050K","1,086.96"
Nov-17,"San Francisco, CA - South Beach","$1,135K","1,093.06"
Dec-17,"San Francisco, CA - South Beach","$1,162K","1,097.37"
Jan-18,"San Francisco, CA - South Beach","$1,184K","1,193.88"
Feb-18,"San Francisco, CA - South Beach","$1,150K","1,203.09"
Mar-18,"San Francisco, CA - South Beach","$1,200K","1,189.85"
Apr-18,"San Francisco, CA - South Beach","$1,143K","1,180.50"
May-18,"San Francisco, CA - South Beach","$1,200K","1,176.18"
Jun-18,"San Francisco, CA - South Beach","$1,158K","1,211.37"
Jul-18,"San Francisco, CA - South Beach","$1,180K","1,226.19"
Aug-18,"San Francisco, CA - South Beach","$1,180K","1,253.70"
Sep-18,"San Francisco, CA - South Beach","$1,108K","1,197.84"
Oct-18,"San Francisco, CA - South Beach","$1,085K","1,185.77"
Nov-18,"San Francisco, CA - South Beach","$1,020K","1,149.70"
Dec-18,"San Francisco, CA - South Beach","$1,080K","1,168.91"
Jan-19,"San Francisco, CA - South Beach","$1,150K","1,150.83"
Feb-19,"San Francisco, CA - South Beach","$1,099K","1,194.56"
Mar-19,"San Francisco, CA - South Beach","$1,100K","1,226.06"
Apr-19,"San Francisco, CA - South Beach","$1,150K","1,237.42"
May-19,"San Francisco, CA - South Beach","$1,175K","1,235.47"
Jun-19,"San Francisco, CA - South Beach","$1,179K","1,276.30"
Jul-19,"San Francisco, CA - South Beach","$1,178K","1,281.30"
Aug-19,"San Francisco, CA - South Beach","$1,148K","1,281.30"
Sep-19,"San Francisco, CA - South Beach","$1,165K","1,259.04"
Oct-19,"San Francisco, CA - South Beach","$1,080K","1,271.99"
Nov-19,"San Francisco, CA - South Beach","$1,190K","1,194.13"
Dec-19,"San Francisco, CA - South Beach","$1,088K","1,197.31"
Jan-20,"San Francisco, CA - South Beach","$1,110K",277.5665399
Feb-20,"San Francisco, CA - South Beach","$1,050K",265.2306936
Feb-12,"San Francisco, CA - Silver Terrace",$380K,271.1690862
Mar-12,"San Francisco, CA - Silver Terrace",$399K,276.5826675
Apr-12,"San Francisco, CA - Silver Terrace",$419K,276.5607886
May-12,"San Francisco, CA - Silver Terrace",$393K,276.7419328
Jun-12,"San Francisco, CA - Silver Terrace",$355K,329.7546012
Jul-12,"San Francisco, CA - Silver Terrace",$388K,355.3113553
Aug-12,"San Francisco, CA - Silver Terrace",$481K,332.0833333
Sep-12,"San Francisco, CA - Silver Terrace",$475K,340.0343407
Oct-12,"San Francisco, CA - Silver Terrace",$414K,369.3498198
Nov-12,"San Francisco, CA - Silver Terrace",$395K,440.2173913
Dec-12,"San Francisco, CA - Silver Terrace",$406K,382.0598007
Jan-13,"San Francisco, CA - Silver Terrace",$469K,332.032967
Feb-13,"San Francisco, CA - Silver Terrace",$515K,332.032967
Mar-13,"San Francisco, CA - Silver Terrace",$552K,352.4146308
Apr-13,"San Francisco, CA - Silver Terrace",$536K,439.2949309
May-13,"San Francisco, CA - Silver Terrace",$558K,403.7267081
Jun-13,"San Francisco, CA - Silver Terrace",$570K,444.9472097
Jul-13,"San Francisco, CA - Silver Terrace",$565K,449.235224
Aug-13,"San Francisco, CA - Silver Terrace",$512K,477.3698264
Sep-13,"San Francisco, CA - Silver Terrace",$512K,386.9541183
Oct-13,"San Francisco, CA - Silver Terrace",$572K,419.4630872
Nov-13,"San Francisco, CA - Silver Terrace",$543K,419.4630872
Dec-13,"San Francisco, CA - Silver Terrace",$550K,414.5036234
Jan-14,"San Francisco, CA - Silver Terrace",$535K,396.2443439
Feb-14,"San Francisco, CA - Silver Terrace",$565K,402
Mar-14,"San Francisco, CA - Silver Terrace",$642K,441.330373
Apr-14,"San Francisco, CA - Silver Terrace",$649K,441.330373
May-14,"San Francisco, CA - Silver Terrace",$637K,549.5583906
Jun-14,"San Francisco, CA - Silver Terrace",$570K,557.6730155
Jul-14,"San Francisco, CA - Silver Terrace",$625K,555.5002545
Aug-14,"San Francisco, CA - Silver Terrace",$640K,468.3333333
Sep-14,"San Francisco, CA - Silver Terrace",$625K,452.9017857
Oct-14,"San Francisco, CA - Silver Terrace",$663K,468.5032895
Nov-14,"San Francisco, CA - Silver Terrace",$660K,547.015403
